"Methedology:
1. Open ADB website 
2. What We Do > Projects & Tenders 
3. Scroll down to 'Related Documents' > All sovereign projects from 2005 onwards (xls) 
4. Click/dowload 'ADB Sovereign Projects (CSV)'",,,,,,,,,,,,,,,,,,,,,
Project ID,Name,Country ,Financing,Project Type or Modality,Status,Approval Number,Approval Date,Approval Date (with filter),ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer,Is it livestock related? ,Does it Include Necesary Documents ,Summary
49054-001,Digital Solutions to Improve Agricultural Value Chains,Regional,Sovereign,Technical Assistance,Active,9902,11/12/2019,12/11/2019,0,Nepal - Nation-wide; Pakistan - Nation-wide; Tajikistan - Nation-wide; Viet Nam - Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production | Agro-industry, marketing, and trade",,,,Sectors Group,Asian Development Bank,"Twarakavi, Navin",,,
52026-001,Anhui Huangshan Xin'an River Ecological Protection and Green Development Project,"China, People's Republic of",Sovereign,Loan,Active,3888,11/12/2019,12/11/2019,"100,000,000.00",Huangshan,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Forestry | Rural sanitation | Urban flood protection | Urban sewerage",B,C,B,Sectors Group,Anhui Provincial Finance Department,"Fan, Mingyuan",,,
53266-001,Accelerating Sanitation for All in Asia and the Pacific,Regional,Sovereign,Technical Assistance,Active,9897,11/12/2019,12/11/2019,0,Regional,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Rural sanitation | Rural water policy, institutional and capacity development | Urban policy, institutional and capacity development | Urban sanitation | Urban sewerage",,,,Sectors Group,Asian Development Bank,"Singh, Jitendra K.",,,
49054-001,Digital Solutions to Improve Agricultural Value Chains,Regional,Sovereign,Technical Assistance,Active,9902,11/12/2019,12/11/2019,0,Nepal - Nation-wide; Pakistan - Nation-wide; Tajikistan - Nation-wide; Viet Nam - Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production | Agro-industry, marketing, and trade",,,,Sectors Group,Asian Development Bank,"Twarakavi, Navin",,,
52026-001,Anhui Huangshan Xin'an River Ecological Protection and Green Development Project,"China, People's Republic of",Sovereign,Loan,Active,3888,11/12/2019,12/11/2019,"100,000,000.00",Huangshan,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Forestry | Rural sanitation | Urban flood protection | Urban sewerage",B,C,B,Sectors Group,Anhui Provincial Finance Department,"Fan, Mingyuan",,,
53266-001,Accelerating Sanitation for All in Asia and the Pacific,Regional,Sovereign,Technical Assistance,Active,9897,11/12/2019,12/11/2019,0,Regional,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Rural sanitation | Rural water policy, institutional and capacity development | Urban policy, institutional and capacity development | Urban sanitation | Urban sewerage",,,,Sectors Group,Asian Development Bank,"Singh, Jitendra K.",,,
49054-001,Digital Solutions to Improve Agricultural Value Chains,Regional,Sovereign,Technical Assistance,Active,9902,11/12/2019,12/11/2019,0,Nepal - Nation-wide; Pakistan - Nation-wide; Tajikistan - Nation-wide; Viet Nam - Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production | Agro-industry, marketing, and trade",,,,Sectors Group,Asian Development Bank,"Twarakavi, Navin",,,
52026-001,Anhui Huangshan Xin'an River Ecological Protection and Green Development Project,"China, People's Republic of",Sovereign,Loan,Active,3888,11/12/2019,12/11/2019,"100,000,000.00",Huangshan,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Forestry | Rural sanitation | Urban flood protection | Urban sewerage",B,C,B,Sectors Group,Anhui Provincial Finance Department,"Fan, Mingyuan",,,
53266-001,Accelerating Sanitation for All in Asia and the Pacific,Regional,Sovereign,Technical Assistance,Active,9897,11/12/2019,12/11/2019,0,Regional,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Rural sanitation | Rural water policy, institutional and capacity development | Urban policy, institutional and capacity development | Urban sanitation | Urban sewerage",,,,Sectors Group,Asian Development Bank,"Singh, Jitendra K.",,,
49054-001,Digital Solutions to Improve Agricultural Value Chains,Regional,Sovereign,Technical Assistance,Active,9902,11/12/2019,12/11/2019,0,Nepal - Nation-wide; Pakistan - Nation-wide; Tajikistan - Nation-wide; Viet Nam - Nation-wide,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development | Agricultural production | Agro-industry, marketing, and trade",,,,Sectors Group,Asian Development Bank,"Twarakavi, Navin",,,
52026-001,Anhui Huangshan Xin'an River Ecological Protection and Green Development Project,"China, People's Republic of",Sovereign,Loan,Active,3888,11/12/2019,12/11/2019,"100,000,000.00",Huangshan,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Forestry | Rural sanitation | Urban flood protection | Urban sewerage",B,C,B,Sectors Group,Anhui Provincial Finance Department,"Fan, Mingyuan",,,
47021-002,Federally Administered Tribal Areas Water Resources Development Project,Pakistan,Sovereign,Loan,Closed,3239,15/12/2014,12/15/2014,"42,968,567.00",,"Agriculture, natural resources and rural development",Forestry | Irrigation | Water-based natural resources management,B,C,C,Central and West Asia Department,FATA Secretariat,"Zafar, Asad A.",,,
48098-001,Balochistan Water Resources Development Project,Pakistan,Sovereign,Technical Assistance,Closed,,15/12/2014,12/15/2014,0,,"Agriculture, natural resources and rural development",Irrigation | Rural flood protection | Water-based natural resources management,,,,Central and West Asia Department,"Irrigation Department, Government of Balochistan","Zhou, Yaozhou",,,
47021-002,Federally Administered Tribal Areas Water Resources Development Project,Pakistan,Sovereign,Loan,Closed,3239,15/12/2014,12/15/2014,"42,968,567.00",,"Agriculture, natural resources and rural development",Forestry | Irrigation | Water-based natural resources management,B,C,C,Central and West Asia Department,FATA Secretariat,"Zafar, Asad A.",,,
48098-001,Balochistan Water Resources Development Project,Pakistan,Sovereign,Technical Assistance,Closed,,15/12/2014,12/15/2014,0,,"Agriculture, natural resources and rural development",Irrigation | Rural flood protection | Water-based natural resources management,,,,Central and West Asia Department,"Irrigation Department, Government of Balochistan","Zhou, Yaozhou",,,
47021-002,Federally Administered Tribal Areas Water Resources Development Project,Pakistan,Sovereign,Loan,Closed,3239,15/12/2014,12/15/2014,"42,968,567.00",,"Agriculture, natural resources and rural development",Forestry | Irrigation | Water-based natural resources management,B,C,C,Central and West Asia Department,FATA Secretariat,"Zafar, Asad A.",,,
48098-001,Balochistan Water Resources Development Project,Pakistan,Sovereign,Technical Assistance,Closed,,15/12/2014,12/15/2014,0,,"Agriculture, natural resources and rural development",Irrigation | Rural flood protection | Water-based natural resources management,,,,Central and West Asia Department,"Irrigation Department, Government of Balochistan","Zhou, Yaozhou",,,
47021-002,Federally Administered Tribal Areas Water Resources Development Project,Pakistan,Sovereign,Loan,Closed,3239,15/12/2014,12/15/2014,"42,968,567.00",,"Agriculture, natural resources and rural development",Forestry | Irrigation | Water-based natural resources management,B,C,C,Central and West Asia Department,FATA Secretariat,"Zafar, Asad A.",,,
48098-001,Balochistan Water Resources Development Project,Pakistan,Sovereign,Technical Assistance,Closed,,15/12/2014,12/15/2014,0,,"Agriculture, natural resources and rural development",Irrigation | Rural flood protection | Water-based natural resources management,,,,Central and West Asia Department,"Irrigation Department, Government of Balochistan","Zhou, Yaozhou",,,
47021-002,Federally Administered Tribal Areas Water Resources Development Project,Pakistan,Sovereign,Loan,Closed,3239,15/12/2014,12/15/2014,"42,968,567.00",,"Agriculture, natural resources and rural development",Forestry | Irrigation | Water-based natural resources management,B,C,C,Central and West Asia Department,FATA Secretariat,"Zafar, Asad A.",,,
48098-001,Balochistan Water Resources Development Project,Pakistan,Sovereign,Technical Assistance,Closed,,15/12/2014,12/15/2014,0,,"Agriculture, natural resources and rural development",Irrigation | Rural flood protection | Water-based natural resources management,,,,Central and West Asia Department,"Irrigation Department, Government of Balochistan","Zhou, Yaozhou",,,
45073-001,Innovative Financing for Agriculture and Food Value Chains,Regional,Sovereign,Technical Assistance,Closed,7996,15/12/2011,12/15/2011,"1,725,000.00",Regional,"Agriculture, natural resources and rural development | Finance | Industry and trade",Agricultural production | Small and medium enterprise finance and leasing | Small and medium enterprise development,,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Katagami, Michiko",,,
45326-001,Support for Regional Multisector Investment Framework for Greater Mekong Subregion Development (Phase 1),Regional,Sovereign,Technical Assistance,Closed,8042,15/12/2011,12/15/2011,"1,500,000.00",Regional,"Agriculture, natural resources and rural development | Industry and trade | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Industry and trade sector development | Small and medium enterprise development | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Southeast Asia Department,Asian Development Bank,"Nguyen, Cuong Minh",,,
45384-001,Provision of Environment Technical Services,Regional,Sovereign,Technical Assistance,Closed,8044,15/12/2011,12/15/2011,"97,000.00",Regional,"Agriculture, natural resources and rural development | Public sector management | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Land-based natural resources management | Water-based natural resources management | Law and judiciary | Transport policies and institutional development | Urban solid waste management | Urban water supply",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Kunzer, Mark",,,
45073-001,Innovative Financing for Agriculture and Food Value Chains,Regional,Sovereign,Technical Assistance,Closed,7996,15/12/2011,12/15/2011,"1,725,000.00",Regional,"Agriculture, natural resources and rural development | Finance | Industry and trade",Agricultural production | Small and medium enterprise finance and leasing | Small and medium enterprise development,,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Katagami, Michiko",,,
45326-001,Support for Regional Multisector Investment Framework for Greater Mekong Subregion Development (Phase 1),Regional,Sovereign,Technical Assistance,Closed,8042,15/12/2011,12/15/2011,"1,500,000.00",Regional,"Agriculture, natural resources and rural development | Industry and trade | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Industry and trade sector development | Small and medium enterprise development | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Southeast Asia Department,Asian Development Bank,"Nguyen, Cuong Minh",,,
45384-001,Provision of Environment Technical Services,Regional,Sovereign,Technical Assistance,Closed,8044,15/12/2011,12/15/2011,"97,000.00",Regional,"Agriculture, natural resources and rural development | Public sector management | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Land-based natural resources management | Water-based natural resources management | Law and judiciary | Transport policies and institutional development | Urban solid waste management | Urban water supply",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Kunzer, Mark",,,
45073-001,Innovative Financing for Agriculture and Food Value Chains,Regional,Sovereign,Technical Assistance,Closed,7996,15/12/2011,12/15/2011,"1,725,000.00",Regional,"Agriculture, natural resources and rural development | Finance | Industry and trade",Agricultural production | Small and medium enterprise finance and leasing | Small and medium enterprise development,,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Katagami, Michiko",,,
45326-001,Support for Regional Multisector Investment Framework for Greater Mekong Subregion Development (Phase 1),Regional,Sovereign,Technical Assistance,Closed,8042,15/12/2011,12/15/2011,"1,500,000.00",Regional,"Agriculture, natural resources and rural development | Industry and trade | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Industry and trade sector development | Small and medium enterprise development | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Southeast Asia Department,Asian Development Bank,"Nguyen, Cuong Minh",,,
45384-001,Provision of Environment Technical Services,Regional,Sovereign,Technical Assistance,Closed,8044,15/12/2011,12/15/2011,"97,000.00",Regional,"Agriculture, natural resources and rural development | Public sector management | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Land-based natural resources management | Water-based natural resources management | Law and judiciary | Transport policies and institutional development | Urban solid waste management | Urban water supply",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Kunzer, Mark",,,
45073-001,Innovative Financing for Agriculture and Food Value Chains,Regional,Sovereign,Technical Assistance,Closed,7996,15/12/2011,12/15/2011,"1,725,000.00",Regional,"Agriculture, natural resources and rural development | Finance | Industry and trade",Agricultural production | Small and medium enterprise finance and leasing | Small and medium enterprise development,,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Katagami, Michiko",,,
45326-001,Support for Regional Multisector Investment Framework for Greater Mekong Subregion Development (Phase 1),Regional,Sovereign,Technical Assistance,Closed,8042,15/12/2011,12/15/2011,"1,500,000.00",Regional,"Agriculture, natural resources and rural development | Industry and trade | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Industry and trade sector development | Small and medium enterprise development | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Southeast Asia Department,Asian Development Bank,"Nguyen, Cuong Minh",,,
45384-001,Provision of Environment Technical Services,Regional,Sovereign,Technical Assistance,Closed,8044,15/12/2011,12/15/2011,"97,000.00",Regional,"Agriculture, natural resources and rural development | Public sector management | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Land-based natural resources management | Water-based natural resources management | Law and judiciary | Transport policies and institutional development | Urban solid waste management | Urban water supply",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Kunzer, Mark",,,
45073-001,Innovative Financing for Agriculture and Food Value Chains,Regional,Sovereign,Technical Assistance,Closed,7996,15/12/2011,12/15/2011,"1,725,000.00",Regional,"Agriculture, natural resources and rural development | Finance | Industry and trade",Agricultural production | Small and medium enterprise finance and leasing | Small and medium enterprise development,,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Katagami, Michiko",,,
45326-001,Support for Regional Multisector Investment Framework for Greater Mekong Subregion Development (Phase 1),Regional,Sovereign,Technical Assistance,Closed,8042,15/12/2011,12/15/2011,"1,500,000.00",Regional,"Agriculture, natural resources and rural development | Industry and trade | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Industry and trade sector development | Small and medium enterprise development | Transport policies and institutional development | Urban policy, institutional and capacity development",,,,Southeast Asia Department,Asian Development Bank,"Nguyen, Cuong Minh",,,
45384-001,Provision of Environment Technical Services,Regional,Sovereign,Technical Assistance,Closed,8044,15/12/2011,12/15/2011,"97,000.00",Regional,"Agriculture, natural resources and rural development | Public sector management | Transport | Water and other urban infrastructure and services","Agricultural policy, institutional and capacity development | Land-based natural resources management | Water-based natural resources management | Law and judiciary | Transport policies and institutional development | Urban solid waste management | Urban water supply",,,,Sustainable Development and Climate Change Department,Asian Development Bank,"Kunzer, Mark",,,
43166-062,Advanced Project Preparedness for Poverty Reduction - Institutional Development for a Value Chain Approach to Agribusiness in Bihar and Maharashtra (Subproject 12),India,Sovereign,Technical Assistance,Closed,7766,15/12/2010,12/15/2010,0,,"Agriculture, natural resources and rural development",Agricultural production,,,,South Asia Department,Bihar Department of Agriculture,"Spantigati, Paolo",,,
43166-062,Advanced Project Preparedness for Poverty Reduction - Institutional Development for a Value Chain Approach to Agribusiness in Bihar and Maharashtra (Subproject 12),India,Sovereign,Technical Assistance,Closed,7766,15/12/2010,12/15/2010,0,,"Agriculture, natural resources and rural development",Agricultural production,,,,South Asia Department,Bihar Department of Agriculture,"Spantigati, Paolo",,,
43166-062,Advanced Project Preparedness for Poverty Reduction - Institutional Development for a Value Chain Approach to Agribusiness in Bihar and Maharashtra (Subproject 12),India,Sovereign,Technical Assistance,Closed,7766,15/12/2010,12/15/2010,0,,"Agriculture, natural resources and rural development",Agricultural production,,,,South Asia Department,Bihar Department of Agriculture,"Spantigati, Paolo",,,
43166-062,Advanced Project Preparedness for Poverty Reduction - Institutional Development for a Value Chain Approach to Agribusiness in Bihar and Maharashtra (Subproject 12),India,Sovereign,Technical Assistance,Closed,7766,15/12/2010,12/15/2010,0,,"Agriculture, natural resources and rural development",Agricultural production,,,,South Asia Department,Bihar Department of Agriculture,"Spantigati, Paolo",,,
43166-062,Advanced Project Preparedness for Poverty Reduction - Institutional Development for a Value Chain Approach to Agribusiness in Bihar and Maharashtra (Subproject 12),India,Sovereign,Technical Assistance,Closed,7766,15/12/2010,12/15/2010,0,,"Agriculture, natural resources and rural development",Agricultural production,,,,South Asia Department,Bihar Department of Agriculture,"Spantigati, Paolo",,,
40082-012,"Sesan, Sre Pok and Sekong River Basins Development Study in Kingdom of Cambodia, Lao People's Democratic Republic, and Socialist Republic of Viet Nam",Regional,Sovereign,Technical Assistance,Closed,6367,15/12/2006,12/15/2006,"980,000.00",Regional,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,Southeast Asia Department,Asian Development Bank,"Makin, Ian WIlliam",,,
40082-012,"Sesan, Sre Pok and Sekong River Basins Development Study in Kingdom of Cambodia, Lao People's Democratic Republic, and Socialist Republic of Viet Nam",Regional,Sovereign,Technical Assistance,Closed,6367,15/12/2006,12/15/2006,"980,000.00",Regional,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,Southeast Asia Department,Asian Development Bank,"Makin, Ian WIlliam",,,
40082-012,"Sesan, Sre Pok and Sekong River Basins Development Study in Kingdom of Cambodia, Lao People's Democratic Republic, and Socialist Republic of Viet Nam",Regional,Sovereign,Technical Assistance,Closed,6367,15/12/2006,12/15/2006,"980,000.00",Regional,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,Southeast Asia Department,Asian Development Bank,"Makin, Ian WIlliam",,,
40082-012,"Sesan, Sre Pok and Sekong River Basins Development Study in Kingdom of Cambodia, Lao People's Democratic Republic, and Socialist Republic of Viet Nam",Regional,Sovereign,Technical Assistance,Closed,6367,15/12/2006,12/15/2006,"980,000.00",Regional,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,Southeast Asia Department,Asian Development Bank,"Makin, Ian WIlliam",,,
40082-012,"Sesan, Sre Pok and Sekong River Basins Development Study in Kingdom of Cambodia, Lao People's Democratic Republic, and Socialist Republic of Viet Nam",Regional,Sovereign,Technical Assistance,Closed,6367,15/12/2006,12/15/2006,"980,000.00",Regional,"Agriculture, natural resources and rural development",Water-based natural resources management,,,,Southeast Asia Department,Asian Development Bank,"Makin, Ian WIlliam",,,
38221-012,Capacity Building for Land Policy and Administration Reform,Afghanistan,Sovereign,Technical Assistance,Closed,4483,15/12/2004,12/15/2004,"250,000.00",,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,Central and West Asia Department,,ADB Disclosure,,,
38221-012,Capacity Building for Land Policy and Administration Reform,Afghanistan,Sovereign,Technical Assistance,Closed,4483,15/12/2004,12/15/2004,"250,000.00",,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,Central and West Asia Department,,ADB Disclosure,,,
38221-012,Capacity Building for Land Policy and Administration Reform,Afghanistan,Sovereign,Technical Assistance,Closed,4483,15/12/2004,12/15/2004,"250,000.00",,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,Central and West Asia Department,,ADB Disclosure,,,
38221-012,Capacity Building for Land Policy and Administration Reform,Afghanistan,Sovereign,Technical Assistance,Closed,4483,15/12/2004,12/15/2004,"250,000.00",,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,Central and West Asia Department,,ADB Disclosure,,,
38221-012,Capacity Building for Land Policy and Administration Reform,Afghanistan,Sovereign,Technical Assistance,Closed,4483,15/12/2004,12/15/2004,"250,000.00",,"Agriculture, natural resources and rural development","Agricultural policy, institutional and capacity development",,,,Central and West Asia Department,,ADB Disclosure,,,
31501-012,Secondary Towns Water Supply and Sanitation,Sri Lanka,Sovereign,Technical Assistance,Closed,3587,15/12/2000,12/15/2000,"1,000,000.00",,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Rural water supply services | Urban policy, institutional and capacity development | Urban water supply",B,,,South Asia Department,National Water Supply and Drainage Board,"McIntosh, Arthur C.",,,
31501-012,Secondary Towns Water Supply and Sanitation,Sri Lanka,Sovereign,Technical Assistance,Closed,3587,15/12/2000,12/15/2000,"1,000,000.00",,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Rural water supply services | Urban policy, institutional and capacity development | Urban water supply",B,,,South Asia Department,National Water Supply and Drainage Board,"McIntosh, Arthur C.",,,
31501-012,Secondary Towns Water Supply and Sanitation,Sri Lanka,Sovereign,Technical Assistance,Closed,3587,15/12/2000,12/15/2000,"1,000,000.00",,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Rural water supply services | Urban policy, institutional and capacity development | Urban water supply",B,,,South Asia Department,National Water Supply and Drainage Board,"McIntosh, Arthur C.",,,
31501-012,Secondary Towns Water Supply and Sanitation,Sri Lanka,Sovereign,Technical Assistance,Closed,3587,15/12/2000,12/15/2000,"1,000,000.00",,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Rural water supply services | Urban policy, institutional and capacity development | Urban water supply",B,,,South Asia Department,National Water Supply and Drainage Board,"McIntosh, Arthur C.",,,
31501-012,Secondary Towns Water Supply and Sanitation,Sri Lanka,Sovereign,Technical Assistance,Closed,3587,15/12/2000,12/15/2000,"1,000,000.00",,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Rural water supply services | Urban policy, institutional and capacity development | Urban water supply",B,,,South Asia Department,National Water Supply and Drainage Board,"McIntosh, Arthur C.",,,
53266-001,Accelerating Sanitation for All in Asia and the Pacific,Regional,Sovereign,Technical Assistance,Active,9897,11/12/2019,12/11/2019,0,Regional,"Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Rural sanitation | Rural water policy, institutional and capacity development | Urban policy, institutional and capacity development | Urban sanitation | Urban sewerage",,,,Sectors Group,Asian Development Bank,"Singh, Jitendra K.",,,
52051-004,Preparing Kurram Tangi Integrated Water Resources Development Project,Pakistan,Sovereign,Technical Assistance,Active,9903,12/12/2019,12/12/2019,"1,800,000.00",,"Agriculture, natural resources and rural development | Energy","Agricultural policy, institutional and capacity development | Agricultural production | Irrigation | Energy efficiency and conservation | Large hydropower generation",,,,Sectors Group,Water and Power Development Authority,"Zhou, Yaozhou",,,
52051-004,Preparing Kurram Tangi Integrated Water Resources Development Project,Pakistan,Sovereign,Technical Assistance,Active,9903,12/12/2019,12/12/2019,"1,800,000.00",,"Agriculture, natural resources and rural development | Energy","Agricultural policy, institutional and capacity development | Agricultural production | Irrigation | Energy efficiency and conservation | Large hydropower generation",,,,Sectors Group,Water and Power Development Authority,"Zhou, Yaozhou",,,
52051-004,Preparing Kurram Tangi Integrated Water Resources Development Project,Pakistan,Sovereign,Technical Assistance,Active,9903,12/12/2019,12/12/2019,"1,800,000.00",,"Agriculture, natural resources and rural development | Energy","Agricultural policy, institutional and capacity development | Agricultural production | Irrigation | Energy efficiency and conservation | Large hydropower generation",,,,Sectors Group,Water and Power Development Authority,"Zhou, Yaozhou",,,
52051-004,Preparing Kurram Tangi Integrated Water Resources Development Project,Pakistan,Sovereign,Technical Assistance,Active,9903,12/12/2019,12/12/2019,"1,800,000.00",,"Agriculture, natural resources and rural development | Energy","Agricultural policy, institutional and capacity development | Agricultural production | Irrigation | Energy efficiency and conservation | Large hydropower generation",,,,Sectors Group,Water and Power Development Authority,"Zhou, Yaozhou",,,
52051-004,Preparing Kurram Tangi Integrated Water Resources Development Project,Pakistan,Sovereign,Technical Assistance,Active,9903,12/12/2019,12/12/2019,"1,800,000.00",,"Agriculture, natural resources and rural development | Energy","Agricultural policy, institutional and capacity development | Agricultural production | Irrigation | Energy efficiency and conservation | Large hydropower generation",,,,Sectors Group,Water and Power Development Authority,"Zhou, Yaozhou",,,
52051-004,Preparing Kurram Tangi Integrated Water Resources Development Project,Pakistan,Sovereign,Technical Assistance,Active,9903,12/12/2019,12/12/2019,"1,800,000.00",,"Agriculture, natural resources and rural development | Energy","Agricultural policy, institutional and capacity development | Agricultural production | Irrigation | Energy efficiency and conservation | Large hydropower generation",,,,Sectors Group,Water and Power Development Authority,"Zhou, Yaozhou",,,
53369-001,Stocktaking Study for Benchmarking Sustainable Management of Exclusive Economic Zones in the Pacific,Regional,Sovereign,Technical Assistance,Closed,9907,16/12/2019,12/16/2019,"225,000.00",Regional,"Agriculture, natural resources and rural development",Fishery,,,,Pacific Department,Asian Development Bank,"Uusimaa, Hanna K.",,,
53369-001,Stocktaking Study for Benchmarking Sustainable Management of Exclusive Economic Zones in the Pacific,Regional,Sovereign,Technical Assistance,Closed,9907,16/12/2019,12/16/2019,"225,000.00",Regional,"Agriculture, natural resources and rural development",Fishery,,,,Pacific Department,Asian Development Bank,"Uusimaa, Hanna K.",,,
53369-001,Stocktaking Study for Benchmarking Sustainable Management of Exclusive Economic Zones in the Pacific,Regional,Sovereign,Technical Assistance,Closed,9907,16/12/2019,12/16/2019,"225,000.00",Regional,"Agriculture, natural resources and rural development",Fishery,,,,Pacific Department,Asian Development Bank,"Uusimaa, Hanna K.",,,
53369-001,Stocktaking Study for Benchmarking Sustainable Management of Exclusive Economic Zones in the Pacific,Regional,Sovereign,Technical Assistance,Closed,9907,16/12/2019,12/16/2019,"225,000.00",Regional,"Agriculture, natural resources and rural development",Fishery,,,,Pacific Department,Asian Development Bank,"Uusimaa, Hanna K.",,,
53369-001,Stocktaking Study for Benchmarking Sustainable Management of Exclusive Economic Zones in the Pacific,Regional,Sovereign,Technical Assistance,Closed,9907,16/12/2019,12/16/2019,"225,000.00",Regional,"Agriculture, natural resources and rural development",Fishery,,,,Pacific Department,Asian Development Bank,"Uusimaa, Hanna K.",,,
53104-001,Implementing Reforms for Growth and Competitiveness,Timor-Leste,Sovereign,Technical Assistance,Active,9932,17/12/2019,12/17/2019,"1,550,000.00",Nation-wide,"Agriculture, natural resources and rural development | Energy | Public sector management | Water and other urban infrastructure and services","Water-based natural resources management | Energy sector development and institutional reform | Economic affairs management | Urban policy, institutional and capacity development | Urban sanitation",,,,Southeast Asia Department,Ministry for Legislative Reforms and Parliamentary Affairs,"Sandagdorj, Bold",,,
53104-001,Implementing Reforms for Growth and Competitiveness,Timor-Leste,Sovereign,Technical Assistance,Active,9932,17/12/2019,12/17/2019,"1,550,000.00",Nation-wide,"Agriculture, natural resources and rural development | Energy | Public sector management | Water and other urban infrastructure and services","Water-based natural resources management | Energy sector development and institutional reform | Economic affairs management | Urban policy, institutional and capacity development | Urban sanitation",,,,Southeast Asia Department,Ministry for Legislative Reforms and Parliamentary Affairs,"Sandagdorj, Bold",,,
53104-001,Implementing Reforms for Growth and Competitiveness,Timor-Leste,Sovereign,Technical Assistance,Active,9932,17/12/2019,12/17/2019,"1,550,000.00",Nation-wide,"Agriculture, natural resources and rural development | Energy | Public sector management | Water and other urban infrastructure and services","Water-based natural resources management | Energy sector development and institutional reform | Economic affairs management | Urban policy, institutional and capacity development | Urban sanitation",,,,Southeast Asia Department,Ministry for Legislative Reforms and Parliamentary Affairs,"Sandagdorj, Bold",,,
44019-013,Hubei Huangshi Urban Pollution Control and Environmental Management Project,"China, People's Republic of",Sovereign,Loan,Closed,2940,15/11/2012,11/15/2012,"100,000,000.00","Guihuawan, Hekou, Huangshi, Huangshi Mining Bureau, Huangshi Shi, Huangshigang, Hujiapeng, Qinggang, Qingshan Lake, Shiji, Sike, Tiehe, Tonghui, Tuanchengshan, Wang Tai Lu, Wangren, Xiqu, Xisai, Ya'er Lake, Yinhu Yuese, Yu Jia Shan Xiang","Agriculture, natural resources and rural development | Water and other urban infrastructure and services","Water-based natural resources management | Urban policy, institutional and capacity development | Urban sewerage | Urban solid waste management",A,C,A,East Asia Department,Huangshi Municipal Government,"Zheng, Baochang",,,
