"Methedology:
1. Open ADB website 
2. What We Do > Projects & Tenders 
3. Scroll down to 'Related Documents' > All sovereign projects from 2005 onwards (xls) 
4. Click/dowload 'ADB Sovereign Projects (CSV)'",,,,,,,,,,,,,,,,,,,,,
Project ID,Name,Country ,Financing,Project Type or Modality,Status,Approval Number,Approval Date,Approval Date (with filter),ADB Financing (US$),Geographical Location,Sector,Subsector,Safeguard - Environment,Safeguard - Indigenous People,Safeguard - Resettlement,Department,Executing Agency,Project Officer,Is it livestock related? ,Does it Include Necesary Documents ,Summary
42203-023,Northern Rural Infrastructure Development Sector Project - Due Diligence of Additional Financing,Lao People's Democratic Republic,Sovereign,Technical Assistance,Closed,8882,19/03/2015,3/19/2015,"225,000.00","Khoueng Bokeo, Khoueng Oudomxai, Khoueng Phongsali, Laos, Louangnamtha","Agriculture, natural resources and rural development",Rural market infrastructure,,,,Southeast Asia Department,Ministry of Agriculture and Forestry-Irrigation Dep,"Salter, Charles David",,,
42203-023,Northern Rural Infrastructure Development Sector Project - Due Diligence of Additional Financing,Lao People's Democratic Republic,Sovereign,Technical Assistance,Closed,8882,19/03/2015,3/19/2015,"225,000.00","Khoueng Bokeo, Khoueng Oudomxai, Khoueng Phongsali, Laos, Louangnamtha","Agriculture, natural resources and rural development",Rural market infrastructure,,,,Southeast Asia Department,Ministry of Agriculture and Forestry-Irrigation Dep,"Salter, Charles David",,,
48409-001,Climate-Friendly Agribusiness Value Chains Sector Project,Regional,Sovereign,Technical Assistance,Closed,8897,12/05/2015,5/12/2015,0,Regional,"Agriculture, natural resources and rural development",,,,,Southeast Asia Department,Asian Development Bank,"Ancha, Srinivasan",,,
48409-001,Climate-Friendly Agribusiness Value Chains Sector Project,Regional,Sovereign,Technical Assistance,Closed,8897,12/05/2015,5/12/2015,0,Regional,"Agriculture, natural resources and rural development",,,,,Southeast Asia Department,Asian Development Bank,"Ancha, Srinivasan",,,
48409-001,Climate-Friendly Agribusiness Value Chains Sector Project,Regional,Sovereign,Technical Assistance,Closed,8897,12/05/2015,5/12/2015,0,Regional,"Agriculture, natural resources and rural development",,,,,Southeast Asia Department,Asian Development Bank,"Ancha, Srinivasan",,,
48409-001,Climate-Friendly Agribusiness Value Chains Sector Project,Regional,Sovereign,Technical Assistance,Closed,8897,12/05/2015,5/12/2015,0,Regional,"Agriculture, natural resources and rural development",,,,,Southeast Asia Department,Asian Development Bank,"Ancha, Srinivasan",,,
48409-001,Climate-Friendly Agribusiness Value Chains Sector Project,Regional,Sovereign,Technical Assistance,Closed,8897,12/05/2015,5/12/2015,0,Regional,"Agriculture, natural resources and rural development",,,,,Southeast Asia Department,Asian Development Bank,"Ancha, Srinivasan",,,
48409-001,Climate-Friendly Agribusiness Value Chains Sector Project,Regional,Sovereign,Technical Assistance,Closed,8897,12/05/2015,5/12/2015,0,Regional,"Agriculture, natural resources and rural development",,,,,Southeast Asia Department,Asian Development Bank,"Ancha, Srinivasan",,,
47381-001,Mahaweli Water Security Investment Program,Sri Lanka,Sovereign,Loan,Active,88,24/06/2015,6/24/2015,"453,000,000.00","Dambulla, Elahera, Minipe","Agriculture, natural resources and rural development",Irrigation | Water-based natural resources management,,,,Sectors Group,,"Dabare, Krishanthi",,,
43448-013,Bagmati River Basin Improvement Project,Nepal,Sovereign,Grant | Loan | Technical Assistance,Active,0367 | 3057 | 3816 | 8500 | 9803,31/10/2013,10/31/2013,"94,100,000.00","Bagmati River, Bagmati Zone, Bishnumati Khola, Kathmandu Valley, Kathmandu Valley, Nagmati Khola, Shivapuri, Sundarijal","Agriculture, natural resources and rural development",Rural flood protection | Water-based natural resources management,A,C,C,Sectors Group,Ministry of Urban Development,"Rana, Arun S.",,,
